analysis,status,model,probability_mapping,probability_calibration,conformal_method,selection_rates,repetitions,primary_outputs
ACS target-definition sensitivity,Primary,Logistic regression,Platt,2018 probability-calibration partition,Marginal and label-conditional split conformal,0.80 primary; 0.50/0.70/0.90/0.95 secondary,10 split refits + full-sample fixed-split sensitivity,"AUROC, Brier, log loss, ECE, calibration intercept/slope, empirical conformal coverage"
ACS model/mapping sensitivity,Secondary,LightGBM; logistic regression,"Raw, Platt, isotonic",2018 probability-calibration partition,Marginal split conformal,All five rates,10 split refits,Complete metric grid
OULAD exact module-period transfer,Primary,Logistic regression,Platt,Within-pair 2013 probability-calibration partition,Marginal and label-conditional split conformal,0.80 primary; full grid secondary,10 refits per pair/horizon,Equal-weight and size-weighted pair macros; class coverage
OULAD estimand/score sensitivity,Secondary,Logistic regression,Platt,2013 probability-calibration partition,Marginal and label-conditional split conformal,0.80,10 pooled refits,Landmark vs all-registered cohort; score-free vs score-inclusive
South German Credit evidence degradation,Primary,Logistic regression,Platt,Probability-calibration partition,Marginal and label-conditional split conformal,0.80; full grid secondary,20 refits; 20 random feature sets/refit,Targeted-vs-random distribution contrasts
Heart Disease site transfer,Primary,Logistic regression without missingness indicators,Platt,Pooled three-site probability-calibration partition,Marginal and label-conditional split conformal,0.80; full grid secondary,10 refits/site,Site-specific ID/OOD metrics and small-sample class coverage
Heart missingness-indicator sensitivity,Secondary,Logistic regression with indicators,Platt,Same as primary,Marginal and label-conditional split conformal,0.80,10 refits/site,Paired difference from primary
ACS same-record metric decomposition,Post hoc diagnostic,Fixed primary logistic pipelines,Platt,2018 probability-calibration partition,Not applicable,Not applicable,"75,000 target records; 300 stratified bootstraps",Label-change rate; algebraic target-label/pipeline metric components; prevalence-aligned residuals
Cross-domain label-conditional trade-off,Post hoc diagnostic,Primary logistic models,Platt,Source probability-calibration partition,Marginal vs label-conditional split conformal,Not applicable,27 primary conditions; 290 repeated paired comparisons,Worst-class coverage change; average set size; singleton rate
Cross-domain model-family sensitivity,Post hoc diagnostic,Logistic regression; fixed LightGBM,Platt,Source probability-calibration partition,Marginal and label-conditional split conformal,0.80,Same refit structure within four domains,AUROC; Brier; ECE; selection; marginal and label-conditional coverage
Cross-domain variance-component integration,Post hoc diagnostic,Descriptive mixed-effects integration,Not applicable,Not applicable,Not applicable,Not applicable,110 logistic OOD-ID deltas; 220 model-family deltas,Domain; condition-within-domain; refit variance fractions; model-family shift effect
